rank,name,price,sales7,gmv7,sales_total,gmv_total,commission,listed_days,shop,category,rating,reviews,source,price_score,growth_score,commission_score,competition_score,lifecycle_score,shop_score,market_heat,viability,potential,markers
384,"Women's Cute Car Bow Decor - Girly Car Accessories, Waterproof Vehicle Decoration, Exterior Accessories for SUV, Sedan & Motorcycle, Daily Driving & Photo Styling Ornament, Car Accessories Cute Car Decals Car Sticker Decal",9.99,1761.0,1.86,2795.0,2.95,14.0,,Embercraft,服饰配件套装,,,products_sales_us.csv,100.0,46.5,70.0,84.0,60.0,60.0,50.5,81.3,69.0,
403,"Mini Makeup Bag with Partitions & Zipper, Portable Cosmetic Organizer for Lipstick & Essentials, Ideal for Airplane Travel & Daily Use, Fashion Accessory for Adults, Women's Gifts, Gifts for Women, Womens Gifts",9.0,1684.0,2.34,2556.0,3.43,13.0,,Embercraft,服饰配件套装,,,products_sales_us.csv,100.0,46.2,65.0,84.0,60.0,60.0,50.3,80.0,68.2,
37,Anchor Glasses Grips - 3 Pack - Anti Slip Eyeglass Holder Ear Grip Sunglasses Retainer Temple Tip Reading Glasses Holder,10.97,5437.0,6.27,15.93,167.93,15.0,,AnchorGlassesStraps,眼镜盒与配件,,,products_sales_us.csv,100.0,61.0,75.0,44.0,60.0,60.0,60.7,74.5,68.1,
36,"Love in Faith Women's Cross Bead - Gold Rings, Adjustable Lightweight Gold-Plated Brass, One Size Fits All, Luxe Comfortable Jewelry for Women, Christmas Gift",9.95,5502.0,4.35,5518.0,4.36,20.0,,Love in Faith,戒指,,,products_sales_us.csv,100.0,60.2,100.0,20.0,60.0,60.0,60.1,76.0,68.0,价格战红海
16,"Retro Chunky Square Sunglasses 2 Pack for Men Women, Thick Black & Clear Plastic Frame with Metal Details, UV400 Anti-Glare PC Lenses, Trendy 90s Y2K Shades for Beach Party Travel Gifts",12.0,8082.0,11.03,9.78,137.01,15.0,,DS high quality goods,太阳镜,,,products_sales_us.csv,100.0,72.2,75.0,20.0,60.0,60.0,68.5,69.8,67.9,价格战红海
62,Zlzlblbl Hairline Brush for Human Hair Wigs Edge Control & Teasing Comb for Women's Styling(Random Color),19.99,4431.0,9.54,1.46,30.73,1.0,,Zlzlblbl Hair Factory Store,发饰套装,,,products_sales_us.csv,100.0,65.7,5.0,100.0,60.0,60.0,64.0,68.2,67.5,
9,"Women's Fashion Floral Print Shawl, Breathable Beach Cover-Up, Geometric Pattern, All-Season Fitted Wrap, Summer Essential",5.6,9211.0,5.89,2.09,14.43,8.0,,kkher,围巾&围脖,,,products_sales_us.csv,100.0,87.5,40.0,20.0,60.0,60.0,79.3,61.0,67.3,价格战红海
397,Cycling Mask Filter Sheet Dustproof And Warm Face Mask Protective Lens Detachable,12.99,1711.0,2.31,2598.0,3.49,8.0,,OLLAS,口罩与配件,,,products_sales_us.csv,100.0,46.3,40.0,100.0,60.0,60.0,50.4,77.0,66.9,
41,YADOCA 14K Plated Gold Filled Ring Initial Ring Dainty Simple Letter Band Rings Signet Stackable Pinky Alphabet Thin Thumb Rings for Women Non Tarnish Size 6 7 8 9 10,15.5,5306.0,9.06,1.03,17.45,12.0,,YADOCA JEWELRY,戒指,,,products_sales_us.csv,100.0,75.6,60.0,20.0,60.0,60.0,70.9,66.0,66.7,价格战红海
103,"Summervibes Dreamlover Wig Grip Band for Lace Front Wigs, Adjustable Elastic Wig Grip Headband Wig Band for Women",17.0,3626.0,6.63,4.65,78.18,15.0,,Dreamlover Online,接发与假发配件,,,products_sales_us.csv,100.0,55.7,75.0,44.0,60.0,60.0,57.0,74.5,66.6,
22,Astra | Modern Flat-Lens Cat-Eye Sunglasses For Women,49.0,7277.0,30.97,1.12,48.84,15.0,,WMP Eyewear,太阳镜,,,products_sales_us.csv,70.0,87.0,75.0,20.0,60.0,60.0,78.9,59.2,66.3,
56,"Kitsch Banana Clip 2pc - Black & Tort, Made of Black Plastic with Tornado Design, Ideal for Food Storage",11.1,4564.0,5.26,2.99,33.43,17.0,,Kitsch,发夹发簪,,,products_sales_us.csv,100.0,61.5,85.0,20.0,60.0,60.0,61.0,72.2,66.2,价格战红海
57,"Maneja Con Cuidado Te Necesito Aquí Conmigo Keychain with Cross & ""I Love You"" Charm, Spanish Drive Safe Stainless Steel Keyring, Romantic Religious Gift for Him/Her Adjustable Heart Rate Couples Bracelet Set Rotating Retractable Reading Badge Holder",9.49,4556.0,3.96,1.38,12.91,14.5,,Senpeo,钥匙扣,,,products_sales_us.csv,100.0,67.0,72.5,20.0,60.0,60.0,64.9,69.1,66.0,价格战红海
85,"YLNWH 18G Titanium Steel Nose Rings Set – Internally Threaded Horseshoe Hoop with Gems, Surgical Grade, Includes Insertion Tool",10.66,4006.0,4.84,1.11,13.55,15.0,,Nuvilite,身体饰品,,,products_sales_us.csv,100.0,66.0,75.0,20.0,60.0,60.0,64.2,69.8,66.0,价格战红海
32,Blush Theme Scruchies Velvet Elastics for Women Free Gifts,19.99,6059.0,12.89,9202.0,19.81,11.5,,Cute Bein Hair Shop,接发与假发配件,,,products_sales_us.csv,100.0,62.2,57.5,44.0,60.0,60.0,61.5,70.2,65.9,
35,Pay Difference/ Table Mix Charm (Pack in live),,5505.0,2.28,5.41,75.04,12.0,,Bella Charms,首饰吊件及装饰,,,products_sales_us.csv,60.0,63.4,60.0,92.0,60.0,60.0,62.3,66.4,65.8,
150,Custom 360 Wave Cap - The Royalty Cap,14.4,3050.0,4.63,6.33,94.95,20.0,,Royalty Headwear,帽子,,,products_sales_us.csv,100.0,52.7,100.0,20.0,60.0,60.0,54.9,76.0,65.8,价格战红海
194,"Clubmasters Sunglasses for Men, Chris Ray Vintage Club Master Y2K Shades",9.49,2662.0,2.79,3.81,38.74,20.0,,Chris Ray Eyewear,太阳镜,,,products_sales_us.csv,100.0,51.9,100.0,20.0,60.0,60.0,54.4,76.0,65.6,价格战红海
14,[Random Color] OQ 1 Count Cute Colorful Hair Clips,19.9,8210.0,16.33,1.07,21.36,3.0,,OQ HAIR SHOP,真人发前蕾丝头套,,,products_sales_us.csv,100.0,94.1,15.0,20.0,60.0,60.0,83.9,54.8,65.5,价格战红海
45,Dearmay Gold Initial Anklets for Women 14K Gold Plated Ankle Bracelet with Letter Pendant Waterproof Adjustable Anklet Set Stackable Personalized Jewelry Summer Beach Accessories Gift for Girls,11.99,5064.0,6.53,1.29,16.96,12.0,,Dearmay,脚链,,,products_sales_us.csv,100.0,70.8,60.0,20.0,60.0,60.0,67.6,66.0,65.3,价格战红海
23,"Women's Elegant Chic Style All Over Print Long Dress & Scarf, Beach Sun Protection Fitted Matching Set for Summer Womenswear",7.4,7091.0,6.23,1.53,20.08,8.0,,Trendy Moo,围巾&围脖,,,products_sales_us.csv,100.0,80.5,40.0,20.0,60.0,60.0,74.3,61.0,65.1,价格战红海
15,TEWIKY (NINI) Necklace 14K Gold Plated Jewelry Exclusive NINI,17.99,8159.0,14.67,9282.0,16.69,,,Tewiky,项链,,,products_sales_us.csv,100.0,69.9,60.0,20.0,60.0,60.0,66.9,66.0,65.0,价格战红海
84,"Kimorn Polarized Square Fit-Over Sunglasses for Men and Women, Lightweight Trendy Casual Frame with UV400 Protection for Driving & Outdoors, High Quality Sunglasses, Trendy Casual Sunglasses",18.99,4010.0,6.67,1.89,32.03,15.0,,AE Glasses,太阳镜,,,products_sales_us.csv,100.0,61.3,75.0,20.0,60.0,60.0,60.9,69.8,64.6,价格战红海
26,"GANIA Double-Layer 26-Letter Gold-Tone Chain Heart-Shaped Anklet with a heart-shaped pendant; featuring an adjustable design, it is perfect for women. It’s a summer must-have and an ideal Valentine’s Day gift.",14.0,6720.0,9.84,2.41,34.07,10.0,,GANIA,脚链,,,products_sales_us.csv,100.0,73.3,50.0,20.0,60.0,60.0,69.3,63.5,64.5,价格战红海
79,Men’s Fashion & Business Watches,1.0,4063.0,4063.0,6061.0,6061.0,,,XanaduGems,中性表,,,products_sales_us.csv,60.0,54.9,60.0,100.0,60.0,60.0,56.4,68.0,64.5,
410,"Men's Luminous Simple Quartz Business Watch - Stainless Steel Band, Gold Accents, Blue Dial with Date & Day Indicator, Men's Accessories, Thoughtful Birthday Gift for Boyfriend, Gifts For Boyfriend, Birthday Gifts For Bf",17.0,1667.0,3.12,3883.0,6.85,8.0,,Horizon Chrono,男表,,,products_sales_us.csv,100.0,46.1,40.0,84.0,60.0,60.0,50.3,73.8,64.4,
72,"ShineThru Unisex Retro Square Frame Sunglasses - 1 Pair PC Plastic Semi-Rimless Double Beam, UV-Protection Lens, Stylish Fashion Accessory, Women's Gift, Party Use",10.9,4283.0,5.06,1.45,16.18,13.0,,ShineThru,太阳镜,,,products_sales_us.csv,100.0,64.9,65.0,20.0,60.0,60.0,63.5,67.2,64.2,价格战红海
61,【FitOver Sunglasses】SIPHEW Mirrored Sunglasses Polarized Fit Over Glasses for Women Men for Driving - Trendy Large Square Oversized UV400 Protection Sun Glasses,14.0,4453.0,7.48,4.28,67.02,15.0,,Global EyeWear Selection,太阳镜,,,products_sales_us.csv,100.0,59.6,75.0,20.0,60.0,60.0,59.7,69.8,64.1,价格战红海
99,"Female 6-Pcs Soft Cotton Assorted Pink-Toned High-Waist Briefs, Tummy Control Comfy Casual Lingerie for Postpartum & Maternity",,3729.0,5.25,3872.0,5.45,12.0,,FSV221 shop,耳罩,,,products_sales_us.csv,60.0,53.7,60.0,100.0,60.0,60.0,55.6,68.0,64.1,
145,"EUNOIALENS Unisex Vintage Square Sunglasses 2-Pack - Transparent Plastic Full Rim Acetate Frames, Simple Eyewear Fashion Accessories, Shades for Gifting & Everyday Wear, Unisex Square Fit Value Backups Modern Trendy Sunglasses Acetate Sunglasses",12.27,3108.0,4.35,1.19,17.99,15.0,,DS high quality goods,太阳镜,,,products_sales_us.csv,100.0,59.6,75.0,20.0,60.0,60.0,59.7,69.8,64.1,价格战红海
217,〖Summer Vibes〗1/2 PCS Large Frame Double Beam Metal Fashion Glasses Toad Glasses Advanced Retro Personality Versatile Daily Wear Street Photography Vacation Travel Beach Accessories Gold Color Sleek Rectangular Sunglasses Acetate Sunglasses,12.1,2507.0,3.47,2.95,38.61,18.0,,TS Fashion Boutique,太阳镜,,,products_sales_us.csv,100.0,51.8,90.0,20.0,60.0,60.0,54.3,73.5,64.1,价格战红海
195,"YANIBEST Bonnet for Men Hair Bonnet for Sleeping Double Layer Satin Bonnets for Black Women Curly Hair Braids, men gifts, FathersDayGift, hats men，Haircare bonnetsilk #SummerWins#DealsForYoudays,clothes for back to school,first day of school outfits",13.59,2655.0,3.64,1.03,14.35,15.0,,YANIBEST,帽子,,,products_sales_us.csv,100.0,57.8,75.0,20.0,60.0,60.0,58.5,69.8,63.6,价格战红海
431,LIVE REVEAL EARRING- Comment to Claim Each Earring,22.9,1614.0,3.99,1.65,38.48,18.5,,Blue Bay Clay,耳环,,,products_sales_us.csv,100.0,49.0,92.5,20.0,60.0,60.0,52.3,74.1,63.6,价格战红海
53,"Tasiso Women's Floating Cubic Zirconia Pendant Necklace on Invisible Transparent Cord, Minimalist Choker Adjustable Length, Everyday Layering Jewelry, For Woman,Gift,summeroutfits,vacationoutfits,beachoutfits,Thick Clear Invisible Fishing Line",12.49,4701.0,6.38,1.14,15.52,10.0,,Tasiso,项链,,,products_sales_us.csv,100.0,70.1,50.0,20.0,60.0,60.0,67.1,63.5,63.5,价格战红海
232,High quality iced out wrist watch automatic waterproof bling bling Rhinestone Embellished Quartz Watch og two tone ace hood watches,42.97,2427.0,10.48,5332.0,22.18,13.5,,New store: Automatics Watch,男表,,,products_sales_us.csv,70.0,48.9,67.5,84.0,60.0,60.0,52.2,70.2,63.4,
13,"Headbands for Women, 4-Piece Elegant Butterfly Set with Wavy Crystal Design, Lightweight & Non-Slip Girly Feminine Accessories for Parties, Women's Fashion, Accessories For Women",,8212.0,7.9,1.98,19.15,15.0,,JJBD Shop,发带发箍,,,products_sales_us.csv,60.0,83.1,75.0,20.0,60.0,60.0,76.1,55.8,63.2,
94,"New Trendy Men's High-End Quartz Analog Watch, Arabic Numerals Wristwatch, Fashion Simple Couple Watch, Stylish and Elegant Timepiece, Casual Analog Watch, Analog Quartz Watches",2.1,3880.0,9611.98,1.18,3.76,8.0,,K.S.Y.Chronomaster,情侣表,,,products_sales_us.csv,60.0,64.5,40.0,92.0,60.0,60.0,63.2,61.4,63.2,
51,Setex® Eyeglass Nose Pads,,4816.0,7.48,7512.0,11.9,20.0,,Setexgrip,眼镜盒与配件,,,products_sales_us.csv,60.0,57.6,100.0,44.0,60.0,60.0,58.4,66.8,62.9,
138,"Tewiky Women's Silver Ankle Bracelet Set - Dainty Layered Waterproof Sparkly Herringbone Beaded Rope Chain, Adjustable Stackable Summer Beach Stylish Accessories, Jewelry Gift, Jewelry For Women, Womens Gifts, Anklets For Women",12.0,3185.0,3.97,1.11,15.66,13.0,,Tewiky official,脚链,,,products_sales_us.csv,100.0,60.6,65.0,20.0,60.0,60.0,60.5,67.2,62.9,价格战红海
278,Zig Zag Headband 2pc - Black & Tort,11.1,2186.0,1.9,4.05,31.4,17.0,,Kitsch,发带发箍,,,products_sales_us.csv,100.0,49.7,85.0,20.0,60.0,60.0,52.8,72.2,62.7,价格战红海
392,Kitsch Extra Wide Spa Headband - Soft and Comfortable Design for a Relaxing Spa Experience,7.4,1729.0,2.13,1.7,17.8,17.0,,Kitsch,发带发箍,,,products_sales_us.csv,100.0,49.5,85.0,20.0,60.0,60.0,52.7,72.2,62.6,价格战红海
126,"Paleshy 4-Pack Women's Blue Light Blocking Glasses - Anti- Round Face Eyewear Set, 4 Fashion Frame Colors | Internet Celebrity Style Windproof No-Makeup Essential",10.66,3348.0,4.03,5.14,68.6,15.0,,Elegant&Pure Shop,镜框与镜片,,,products_sales_us.csv,100.0,54.3,75.0,20.0,60.0,60.0,56.0,69.8,62.5,价格战红海
131,"Unisex Oversize Frame Aviator Safety Sunglasses - Men's Accessories, Cool Gifts for Guys, Ideal for Cycling, Driving, Oversized Unisex Sunglasses, Safety Sports Sunglasses",14.99,3217.0,5.4,1.05,17.13,12.0,,NovaNook.,镜框与镜片,,,products_sales_us.csv,100.0,61.4,60.0,20.0,60.0,60.0,61.0,66.0,62.4,价格战红海
269,"Women's 6-Count Elastic Headbands Set - Metal Body Wave-Zig Zag Training Headbands with Comb, Textured Twist Design, Sports Hair Accessory, Ideal Gift, Body Wave Headband",11.9,2202.0,3.14,1.17,16.5,15.0,,lumoqi,发带发箍,,,products_sales_us.csv,100.0,54.0,75.0,20.0,60.0,60.0,55.8,69.8,62.4,价格战红海
104,"YLNWH LED Earrings, Light Up Stud Earrings, Glowing Diamond Crown Pendant Earring for Women and Men, LED Jewelry for Party, Wedding, Birthday, Night Out, Disco, Festival",9.49,3587.0,3.58,5429.0,5.07,15.0,,Nuvilite,耳环,,,products_sales_us.csv,100.0,53.1,75.0,20.0,60.0,60.0,55.2,69.8,62.2,价格战红海
298,"Women's 9pcs Copper Non-Piercing Nose Clips - U-Shape, Star, Love, Crown Designs with Zirconia, Aesthetic Whimsical Fake Nose Rings, Funky Unique Accessories for Women, Chic Whimsical Gifts (TikTok Shop Spring Glow Up Pick), Teenage Girls Gifts",8.9,2101.0,2.03,1.18,11.34,15.0,,Arpurraina2,身体饰品,,,products_sales_us.csv,100.0,53.3,75.0,20.0,60.0,60.0,55.3,69.8,62.2,价格战红海
133,"Humwam 2-in-1 Haircare Bonnet - Large Size Yellow Friction-Free Dreadlock Sleep Cap Hairbands & Scrunchies, Smooth Elastic Pantyhose, Breathable, Water-Resistant, UV Shield, Lightweight, Hand Wash, Styling",14.99,3201.0,5.24,1.2,19.48,12.0,,GRT BEAUTY,头绳,,,products_sales_us.csv,100.0,60.1,60.0,20.0,60.0,60.0,60.0,66.0,62.0,价格战红海
202,【SummerVibes】SUNGAIT Retro Polygon Aviator Sunglasses for Men Women Polarized Trendy Square Sun Glasses Stylish Pilot Shades UV400 Protection for Beach Travel School,15.3,2608.0,5.02,2.68,51.01,15.0,,SUNGAIT,太阳镜,,,products_sales_us.csv,100.0,52.6,75.0,20.0,60.0,60.0,54.8,69.8,62.0,价格战红海
86,2026 US SummerVibes | Tactical Metal Hook Elastic Belt (Unisex) - Patented No - Buckle Invisible Design / EDC / EveryDayCarry / Soft Adjustable Side Waist Belt Pocket belts for men,8.98,4005.0,4.35,2.99,35.38,12.0,,FortuneAdorn,皮带,,,products_sales_us.csv,100.0,58.9,60.0,20.0,60.0,60.0,59.2,66.0,61.7,价格战红海
142,EVRY JEWELS Gold or Silver Plated Women's Hypoallergenic Forever Blessed Cross Necklace,9.99,3155.0,3.21,8974.0,7.92,15.0,,EvryJewels,项链,,,products_sales_us.csv,100.0,51.6,75.0,20.0,60.0,60.0,54.1,69.8,61.7,价格战红海
433,"2 Pairs 14K Gold Plated Twisted Round Hoop Earrings, Minimalist Lightweight Copper Jewelry for Women & Men, Trendy Comfortable Hoops for Daily Wear, Wedding Party Summer Occasions and Birthday Gift",8.7,1606.0,1.68,4131.0,4.43,14.0,,DDBD shop,首饰套装,,,products_sales_us.csv,100.0,45.9,70.0,36.0,60.0,60.0,50.1,71.7,61.7,价格战红海
164,"5-Pack Cooling Helmet Liner Caps, Moisture-Wicking Breathable Pirate Head Wraps, Stretchy Adjustable Sports Outdoor Hat, Sweat-Absorbent Cooling Beanie for Motorcycle Cycling & Outdoor Riding, Adjustable Hat, Sports Outdoor Hats",10.49,2900.0,3.57,4307.0,5.17,15.0,,DDBD shop,帽子,,,products_sales_us.csv,100.0,50.6,75.0,20.0,60.0,60.0,53.4,69.8,61.4,价格战红海
116,HD Wig Cap 2 Pieces Ultra-thin Wig Caps Invisible Nude Skinlike and Stretchy Wig Cap for lace front wig,16.6,3437.0,6.55,4.28,74.44,13.0,,U&A HAIR SHOP,真人发接发&发片,,,products_sales_us.csv,100.0,55.1,65.0,20.0,60.0,60.0,56.6,67.2,61.3,价格战红海
117,1Pack Satin Hair Scrunchies for Women - Glossy Satin Scrunchies for Hair Satin Scrunchies for Girls Holiday Gift Silk Hair Tie No Damage Cute Satin Hair Scrunchie for Styling,16.6,3436.0,6.56,4.25,75.78,13.0,,U&A HAIR SHOP,头绳,,,products_sales_us.csv,100.0,55.1,65.0,20.0,60.0,60.0,56.6,67.2,61.3,价格战红海
118,"Hair Clips 2 Pack – Professional Alligator Clips For Hair, Hair Clips For Styling, Hair Styling Clips, Aligator Clips, Salon Hair Clips, Plastic Hair Clips",16.6,3436.0,6.54,4.32,74.96,13.0,,U&A HAIR SHOP,发夹发簪,,,products_sales_us.csv,100.0,55.1,65.0,20.0,60.0,60.0,56.6,67.2,61.3,价格战红海
119,"3 pieces No Bend Hair Clips, No Crease Hair Clips, Pin Curl Hair Clips for Makeup Hair Styling",16.6,3436.0,6.56,4.32,74.5,13.0,,U&A HAIR SHOP,发夹发簪,,,products_sales_us.csv,100.0,55.1,65.0,20.0,60.0,60.0,56.6,67.2,61.3,价格战红海
182,"Kimorn Retro Small Oval Sunglasses for Women Men, Y2K Vintage Narrow Round Cateye Shades, UV400 Protection Summervibes",16.99,2778.0,3.57,6475.0,8.48,15.0,,AE Glasses,太阳镜,,,products_sales_us.csv,100.0,50.2,75.0,20.0,60.0,60.0,53.1,69.8,61.3,价格战红海
10,"EUNOIALENS Rimless High Quality Eyewear, Frameless Glasses with Diamond-Cut Edges, Stainless Steel Fashion Temple Decor, Unisex Adults' Accessories for Daily Use, Mens Gifts. summerwins,summerwins, Father's Day Gifts,summer outifit,travel essentials",,9091.0,10.92,9.34,119.16,15.0,,DS high quality goods,镜框与镜片,,,products_sales_us.csv,60.0,76.4,75.0,20.0,60.0,60.0,71.5,55.8,61.2,
52,Tewiky(NINI) Bracelet 14K Gold Plated Jewelry Exclusive NINI,17.99,4705.0,8.46,5331.0,9.59,,,Tewiky,手环与手链,,,products_sales_us.csv,100.0,57.2,60.0,20.0,60.0,60.0,58.1,66.0,61.2,价格战红海
245,"Retro Unisex Fashionable All-match Tinted Lens Aviator Sunglasses, His and Hers Gifts, Semi-Rimless Summer Vintage Trendy Glasses, Fashionable Sunglasses Men Women for Outdoor Activities #SummerVibes,summer outifit,travel essentials",9.0,2335.0,2.52,5.13,52.31,15.0,,Collar Tow,镜框与镜片,,,products_sales_us.csv,100.0,50.0,75.0,20.0,60.0,60.0,53.0,69.8,61.2,价格战红海
412,Decorative Iris Keychain Charm (#C09) Stylish Keychain By Iris & Rainbow,5.0,1660.0,1.21,4.83,24.7,16.0,,IRIS & RAINBOW,钥匙扣,,,products_sales_us.csv,100.0,47.2,80.0,20.0,60.0,60.0,51.0,71.0,61.1,价格战红海
8,FREEKISS Chunky Cuban Link Chain Anklet for Women Waterproof Anklet Adjustable Length 8.5+2 Inch Fashion Chic Accessories Stackable Anklet Trendy Layered Anklet Set Jewelry Gift Suitable for Summer Beach Vacations backtoschool,,9824.0,12.94,7.44,98.99,13.0,,FREEKISS OFFICIAL,脚链,,,products_sales_us.csv,60.0,80.1,65.0,20.0,60.0,60.0,74.1,53.2,60.8,
249,"ShineThru 1 Pair Unisex Plastic Full-Rim Retro Fashion Womens Sunglasses - Trendy Versatile Design, UV Protection, Lightweight Comfort, Suitable for Daily & Outdoor Wear",10.98,2318.0,2.85,4730.0,5.02,15.0,,ShineThru,太阳镜,,,products_sales_us.csv,100.0,48.5,75.0,20.0,60.0,60.0,51.9,69.8,60.8,价格战红海
30,"EUNOIALENS 70s Vintage Oversized Aviation Sunglasses - Unisex Thick Frame Anti UV Glasses, UV400 Shield, Women's Fashion Accessories, Summer Sun Protective Eyewear, Men's Sunglasses, Gifts For Women, Glasses For Women",,6171.0,7.09,1.58,18.09,15.0,,DS high quality goods,太阳镜,,,products_sales_us.csv,60.0,74.8,75.0,20.0,60.0,60.0,70.4,55.8,60.7,
162,"Copper Bracelet for Women, Pure Copper Magnetic Bracelets, Natural Unique Gemstone, Gifts for Women Trendy Stack Bangle Trendy Jewellery Accessories Valentine’s Day gift.",6.59,2905.0,2.59,5552.0,5.79,14.0,,Lunaire Threads,手环与手链,,,products_sales_us.csv,100.0,50.6,70.0,20.0,60.0,60.0,53.5,68.5,60.7,价格战红海
344,Beanie Hat,20.0,1868.0,3.96,2622.0,5.47,15.5,,Hype Wall,帽子,,,products_sales_us.csv,100.0,46.8,77.5,20.0,60.0,60.0,50.8,70.4,60.7,价格战红海
418,"3-in-1 Multifunctional Retractable Pull Reel Carabiner Keychain with Strong Steel Wire Rope Buckle, Outdoor Sport Tool for Men's Accessories, Tools and Gadgets, Mens Gifts",9.5,1650.0,1.97,1.08,10.76,14.0,,KIS77,钥匙扣,,,products_sales_us.csv,100.0,50.8,70.0,20.0,60.0,60.0,53.6,68.5,60.7,价格战红海
60,6pcs Value Pack 316L medical-grade titanium steel 18G 1.0mm Horseshoe Nose Hoop Internally Threaded Gems Nose Ring with Free Ball Holder & Guiding Needle,12.9,4511.0,6.25,3.85,51.27,10.0,,BabyQueen,身体饰品,,,products_sales_us.csv,100.0,60.2,50.0,20.0,60.0,60.0,60.1,63.5,60.6,价格战红海
200,"ShineThru Aviator Sunglasses for Women & Men 2-Pack, Fashion Metal Frame Summer Shades, Trendy Unisex Eyewear for Beach, Vacation & Daily Outfits",14.98,2615.0,3.52,2.58,35.01,13.0,,ShineThru,太阳镜,,,products_sales_us.csv,100.0,52.7,65.0,20.0,60.0,60.0,54.9,67.2,60.6,价格战红海
303,"YAPPY Inspirational Bible Verse Bracelets for Women & Men, Reversible Waterproof Design with NFC Daily Faith Quotes, Great GF or BF Gift, Gifts For Women, Gf Gift",11.2,2074.0,3.08,29.52,388.53,15.0,,Yappy Bracelets,手环与手链,,,products_sales_us.csv,100.0,47.8,75.0,20.0,60.0,60.0,51.5,69.8,60.6,价格战红海
