rank,name,price,sales7,gmv7,sales_total,gmv_total,commission,listed_days,shop,category,rating,reviews,sales_growth,source
16,"Retro Chunky Square Sunglasses 2 Pack for Men Women, Thick Black & Clear Plastic Frame with Metal Details, UV400 Anti-Glare PC Lenses, Trendy 90s Y2K Shades for Beach Party Travel Gifts",12.0,8082.0,110300.0,97800.0,1370100.0,15.0,,DS high quality goods,太阳镜,,,40.65,products_sales_us.csv
17,"EUNOIALENS Fit-Over Sunglasses Women's Oversized Full-Rim Plastic Fit-Over Sunglasses - Polarized UV400 UV-Protection Lenses, Lightweight, Bold Look, Ideal for Vacation, Women's Gifts, Sunglasses For Women, Accessories For Women",9.9,8076.0,88100.0,29100.0,330000.0,15.0,,DS high quality goods,太阳镜,,,-18.13,products_sales_us.csv
18,"Cute Hair Clip Decor Hairband, Novelty Multifunction Hair Hoop with Clips, Hair Accessories for Women, Hairstyle Accessory, Minimalist Headwear, Trendy Hair Hoop, Minimalist Hair Hoops, mothers day gift, Hairclip Headband, Fashion Headbands",,8071.0,12800.0,33200.0,57400.0,8.0,,Chic Pendants,发带发箍,,,32.59,products_sales_us.csv
19,"JBEXTENSION 1 Pieces Black Wig Cap, Wig Caps for Women Lace Front Wig Stocking Caps for Wigs Wig Cap Black Wig Cap 1 Pcs",6.99,8024.0,60700.0,34500.0,255500.0,10.0,,Jbextension.usa,化纤前蕾丝头套,,,-21.52,products_sales_us.csv
20,"JBextension 1 Pieces Beige Wig Cap, Wig Caps for Women Lace Front Wig Stocking Caps for Wigs Nude Wig Cap Beige Wig Cap 1 Pcs",6.29,7992.0,56600.0,119200.0,834900.0,10.0,,Jbextension.usa,化纤前蕾丝头套,,,-22.11,products_sales_us.csv
21,"Magnetic Glasses Holder - Premium Strength Magnetic Hold - Fits All Frames - Lifetime Warranty - Made in USA - Secures and Protects Readers, Sunglasses, Blue Light Glasses, or Safety Glasses - Badge Holder Accessory",,7935.0,77700.0,10500.0,104000.0,20.0,,Readerest,眼镜盒与配件,,,259.05,products_sales_us.csv
22,Astra | Modern Flat-Lens Cat-Eye Sunglasses For Women,49.0,7277.0,309700.0,11200.0,488400.0,15.0,,WMP Eyewear,太阳镜,,,116.64,products_sales_us.csv
23,"Women's Elegant Chic Style All Over Print Long Dress & Scarf, Beach Sun Protection Fitted Matching Set for Summer Womenswear",7.4,7091.0,62300.0,15300.0,200800.0,8.0,,Trendy Moo,围巾&围脖,,,53.32,products_sales_us.csv
24,"5 Pairs Y2K Street Style Women's Plastic, Trendy Casual Leopard Pattern Sunglasses, Fashionable Sunglasses, Trendy Shades, Trendy Fashion Shades, Perfect for Beach Vacations, Driving and Night Out",4.0,7011.0,34700.0,50500.0,305000.0,8.0,,Zoravia,太阳镜,,,-29.46,products_sales_us.csv
25,"Unisex Statement Sunglasses - Colorful Mirrored 1-Piece Rubber Shield Design, Windproof UV400 Shield, Outdoor Sports Eyewear Statement Pieces for Outfits for Beach, Driving",,6933.0,69300.0,16300.0,161300.0,11.0,,Urban Optic Shop,镜框与镜片,,,79.01,products_sales_us.csv
26,"GANIA Double-Layer 26-Letter Gold-Tone Chain Heart-Shaped Anklet with a heart-shaped pendant; featuring an adjustable design, it is perfect for women. It’s a summer must-have and an ideal Valentine’s Day gift.",14.0,6720.0,98400.0,24100.0,340700.0,10.0,,GANIA,脚链,,,-7.64,products_sales_us.csv
27,Rings,2.0,6425.0,12800.0,6712.0,13400.0,,,OnJewelry,戒指,,,2138.68,products_sales_us.csv
28,"Women's Peacock Print Cape Shawl & Scarf Set, Elegant Beach Cover-Up For Holiday Vacation, Swimsuit Cover Up",,6246.0,60500.0,230100.0,2769100.0,8.0,,IROJEFF,围巾&围脖,,,697.7,products_sales_us.csv
29,"Stylish Aviator Sunglasses for Men and Women , Trendy Rectangle, Fashionable Design, Perfect for Outdoor Activities and Daily Wear",,6223.0,85400.0,26200.0,359200.0,15.0,,StarH,太阳镜,,,-45.92,products_sales_us.csv
30,"EUNOIALENS 70s Vintage Oversized Aviation Sunglasses - Unisex Thick Frame Anti UV Glasses, UV400 Shield, Women's Fashion Accessories, Summer Sun Protective Eyewear, Men's Sunglasses, Gifts For Women, Glasses For Women",,6171.0,70900.0,15800.0,180900.0,15.0,,DS high quality goods,太阳镜,,,60.79,products_sales_us.csv
31,"Women's Retro Aviator Sunglasses - 2026 New Multi-Color Gradient Shades, Smaller Fit Casual Street-Style Outdoor Sunglasses for Female, Stylish Accessories for Women, Sunglasses For Women, Womens Sunglasses",,6082.0,58800.0,26900.0,266100.0,12.0,,Halo Daily Shop,太阳镜,,,-45.27,products_sales_us.csv
32,Blush Theme Scruchies Velvet Elastics for Women Free Gifts,19.99,6059.0,128900.0,9202.0,198100.0,11.5,,Cute Bein Hair Shop,接发与假发配件,,,4866.39,products_sales_us.csv
33,"U Shape Hair Finishing Fixer Comb, 3 Pieces Bobby Bangs Holder Styling Tool Stretchable Hair Pin U Shape Wavy Comb Clips Spring Headband Circle Styling Black Pins Bun Hairpins for Women Girl",,5882.0,44300.0,6169.0,46400.0,8.0,,Findry,发夹发簪,,,,products_sales_us.csv
34,"LOLIAS 14K Chunky Gold Hoop Earrings for Women 925 Sterling Silver Post Hollow Tube Hoops Earrings 4mm Thick Hoop Earrings Hypoallergenic Lightweight Gold Big Large Hoop Earrings 25/30/40/50/60/70MM, Gold Jewelry, Accessories",,5647.0,74700.0,11000.0,152300.0,12.0,,LOLIAS JEWELRY,耳环,,,323.95,products_sales_us.csv
35,Pay Difference/ Table Mix Charm (Pack in live),,5505.0,22800.0,54100.0,750400.0,12.0,,Bella Charms,首饰吊件及装饰,,,-3.84,products_sales_us.csv
36,"Love in Faith Women's Cross Bead - Gold Rings, Adjustable Lightweight Gold-Plated Brass, One Size Fits All, Luxe Comfortable Jewelry for Women, Christmas Gift",9.95,5502.0,43500.0,5518.0,43600.0,20.0,,Love in Faith,戒指,,,39200.0,products_sales_us.csv
37,Anchor Glasses Grips - 3 Pack - Anti Slip Eyeglass Holder Ear Grip Sunglasses Retainer Temple Tip Reading Glasses Holder,10.97,5437.0,62700.0,159300.0,1679300.0,15.0,,AnchorGlassesStraps,眼镜盒与配件,,,51.87,products_sales_us.csv
38,"1pc Arpurraina Money Attraction Bracelet with Green Aventurine & Tiger Eye beaded jewelry protection bracelet encouragement gift fashion artificial bracelet of the day Colorblock Beaded Crystal Bracelet ,Manifestation, Wealth Amulet, Good Fortune,",,5388.0,56500.0,113400.0,1136100.0,15.0,,Arpurraina,手环与手链,,,18.97,products_sales_us.csv
39,"Heavy-Duty Metal Keychain for Men, Waterproof Multi-Tool with Bottle Opener & Dual Clip, Cool Accessory for Outdoors & Camping, Great Father's Day Gifts, Gifts For Boyfriend, Tools And Gadgets, Men's Accessories, Mens Gifts",12.8,5381.0,66200.0,6499.0,79200.0,10.0,,Orion Box,钥匙扣,,,510.09,products_sales_us.csv
40,TEWIKY Dainty Layered Waterproof Anklet For Women Adjustable Womens Anklet Set Stackable Figaro Beaded Cuban Link Anklets Daily Clothing Decor For Beach Summer Trendy All-match & Exquisite Jewelry For Valentine's Day gifts,,5369.0,71400.0,103500.0,1313600.0,12.0,,Tewiky,脚链,,,-26.18,products_sales_us.csv
41,YADOCA 14K Plated Gold Filled Ring Initial Ring Dainty Simple Letter Band Rings Signet Stackable Pinky Alphabet Thin Thumb Rings for Women Non Tarnish Size 6 7 8 9 10,15.5,5306.0,90600.0,10300.0,174500.0,12.0,,YADOCA JEWELRY,戒指,,,772.7,products_sales_us.csv
42,"Geometric Acrylic Beaded Choker Necklace, Boho Style Heart Pendant, Lockbone Chain for Women, Summer Beach Wear",,5236.0,41800.0,6791.0,51100.0,8.0,,Sophisticated Chains,项链,,,271.61,products_sales_us.csv
43,[KooKaStyle] Clip in Long Wavy Synthetic Hair Extension 24 Inch Pearl Blonde 4PCS Thick Hairpieces Fiber Double Weft Hair for Women 613,,5218.0,93200.0,7697.0,147600.0,5.0,,kookastyle hair extensions,化纤接发&发片,,,3101.23,products_sales_us.csv
44,"EunoiaLens Unisex Oval Non-Prescription Glasses 2-Pack - Black & Clear Full Rim Minimalist Chic Frames, Stainless Steel, Oval Shape Flatters Face, Shared Style Fit, Classic Fashion Accessory, Summer Outfit Travel Essential Gift Set",,5155.0,64700.0,18300.0,236200.0,15.0,,DS high quality goods,镜框与镜片,,,65.76,products_sales_us.csv
45,Dearmay Gold Initial Anklets for Women 14K Gold Plated Ankle Bracelet with Letter Pendant Waterproof Adjustable Anklet Set Stackable Personalized Jewelry Summer Beach Accessories Gift for Girls,11.99,5064.0,65300.0,12900.0,169600.0,12.0,,Dearmay,脚链,,,-2.05,products_sales_us.csv
46,#350 Ginger 13x6 Lace Front Wigs Ginger Orange Body Wave HD Lace Wig Straight Human Hair Wigs With Natural Hairline,19.99,4941.0,107400.0,21800.0,486500.0,1.0,,Cute Bein Hair Shop,接发与假发配件,,,361.78,products_sales_us.csv
47,20G(0.8mm)/18G(1.0mm) 8mm Horseshoe Nose Hoop Internally Threaded Gems Nose Ring with Free Ball Holder | Caution: Avoid Overtightening; Pre-Tighten with Provided Tool then Complete Tightening by Hand,,4939.0,52100.0,93600.0,1335000.0,10.0,,Neeyer Beauty USA,身体饰品,,,27.52,products_sales_us.csv
48,"Glitter Sand Dumpling Keychain, Whimsical Kawaii Steamed Bun Bag Charm for Backpack Purse, Girly Feminine Items Keychains for Women, Mini Gifts for Girls, Bag Charms For Purse, Whimsy, Teenage Girls Gifts",3.0,4932.0,14800.0,6770.0,20700.0,14.0,,Gubercen,钥匙扣,,,168.48,products_sales_us.csv
49,"Creative Slogan Metal Keychain, Stainless Steel Key Ring with Long Bar Pendant for Car Keys, Cute Fashion Accessory for Men and Women, Perfect Valentine's Day Gift and Keychain for Bags",10.99,4920.0,49700.0,9386.0,91200.0,5.0,,Koeyra,钥匙扣,,,115.98,products_sales_us.csv
50,"32 Inch Super Long Glueless Headband Half Wig for Women, Daily Wear Wig, Synthetic Wigs, Synthetic Straight Hair, Heat Resistant Fiber, Suitable for Daily & Party Use",27.8,4912.0,111300.0,9942.0,205800.0,8.0,,Fancee Hair,化纤全机制头套,,,80.65,products_sales_us.csv
51,Setex® Eyeglass Nose Pads,,4816.0,74800.0,7512.0,119000.0,20.0,,Setexgrip,眼镜盒与配件,,,78.83,products_sales_us.csv
52,Tewiky(NINI) Bracelet 14K Gold Plated Jewelry Exclusive NINI,17.99,4705.0,84600.0,5331.0,95900.0,,,Tewiky,手环与手链,,,2009.87,products_sales_us.csv
53,"Tasiso Women's Floating Cubic Zirconia Pendant Necklace on Invisible Transparent Cord, Minimalist Choker Adjustable Length, Everyday Layering Jewelry, For Woman,Gift,summeroutfits,vacationoutfits,beachoutfits,Thick Clear Invisible Fishing Line",12.49,4701.0,63800.0,11400.0,155200.0,10.0,,Tasiso,项链,,,2046.58,products_sales_us.csv
54,"Sports Ball & Gold Trophy Keychain Set, Mini Bag Charm Pendant for Backpack, Handbag, Keys and Party Gifts",,4677.0,44300.0,11400.0,111300.0,10.0,,GoGe Goods,钥匙扣,,,-14.14,products_sales_us.csv
55,"Fashion Metal Square Frame Flat Lens Outdoor Versatile Anti-Blue Light Trendy Casual Glasses, Square Frame Eyewear, Square Frames Eyeglasses, Casual Style, All Seasons, Plain Pattern",2.71,4599.0,15300.0,16400.0,89700.0,8.0,,Zanobia,镜框与镜片,,,48.12,products_sales_us.csv
56,"Kitsch Banana Clip 2pc - Black & Tort, Made of Black Plastic with Tornado Design, Ideal for Food Storage",11.1,4564.0,52600.0,29900.0,334300.0,17.0,,Kitsch,发夹发簪,,,-17.21,products_sales_us.csv
57,"Maneja Con Cuidado Te Necesito Aquí Conmigo Keychain with Cross & ""I Love You"" Charm, Spanish Drive Safe Stainless Steel Keyring, Romantic Religious Gift for Him/Her Adjustable Heart Rate Couples Bracelet Set Rotating Retractable Reading Badge Holder",9.49,4556.0,39600.0,13800.0,129100.0,14.5,,Senpeo,钥匙扣,,,-51.18,products_sales_us.csv
58,Tewiky (K) 14K Gold Plated Jewelry Exclusive K,1.0,4532.0,4532.0,7871.0,7871.0,,,Tewiky,项链,,,42.52,products_sales_us.csv
60,6pcs Value Pack 316L medical-grade titanium steel 18G 1.0mm Horseshoe Nose Hoop Internally Threaded Gems Nose Ring with Free Ball Holder & Guiding Needle,12.9,4511.0,62500.0,38500.0,512700.0,10.0,,BabyQueen,身体饰品,,,-20.82,products_sales_us.csv
61,【FitOver Sunglasses】SIPHEW Mirrored Sunglasses Polarized Fit Over Glasses for Women Men for Driving - Trendy Large Square Oversized UV400 Protection Sun Glasses,14.0,4453.0,74800.0,42800.0,670200.0,15.0,,Global EyeWear Selection,太阳镜,,,-30.56,products_sales_us.csv
62,Zlzlblbl Hairline Brush for Human Hair Wigs Edge Control & Teasing Comb for Women's Styling(Random Color),19.99,4431.0,95400.0,14600.0,307300.0,1.0,,Zlzlblbl Hair Factory Store,发饰套装,,,110.1,products_sales_us.csv
63,Zlzlblbl Hair Elastic Band for Human Hair Wig Edge(Random Color),19.99,4431.0,96700.0,14700.0,308800.0,1.0,,Zlzlblbl Hair Factory Store,头绳,,,31.95,products_sales_us.csv
64,Zlzlblbl Natural Thick False Eyelashes For Women Randomly Send Out One,19.99,4431.0,95700.0,14600.0,305500.0,1.0,,Zlzlblbl Hair Factory Store,头绳,,,110.5,products_sales_us.csv
65,Zlzlblbl 1 Piece Silk Satin Hair Ties Ponytail Holder For Women Randomly Send Out One,19.99,4431.0,97300.0,14700.0,309800.0,1.0,,Zlzlblbl Hair Factory Store,头绳,,,31.95,products_sales_us.csv
66,Zlzlblbl Wig Cap for Women HD Lace Front Wigs 2 Pieces,19.99,4431.0,97000.0,14800.0,309200.0,1.0,,Zlzlblbl Hair Factory Store,接发与假发配件,,,142.26,products_sales_us.csv
67,"HAILTH Pro Elastic No Buckle Invisible Belt for Men and Women(2 Pack) - Multiple Color & Fit Options, Patented Buckle-Free Design, Gift Box Included - for Summer Vibes, Outdoor Fun,summerwins tiktokshopbacktoschool",,4428.0,55900.0,86700.0,1117500.0,12.0,,HAILTH,皮带,,,-9.89,products_sales_us.csv
68,"QVR 1Pcs Latch Hook Tool, Latch Hook Crochet Needle for Micro Braids, Hair Extension, Feather and Carpet",35.0,4416.0,169900.0,31200.0,986300.0,3.0,,qvr hair,真人发接发&发片,,,820.0,products_sales_us.csv
69,Heather Gray Set & Flow Active Curling Headband – Kitsch Heatless Hair Curler for Soft Waves & Curls,20.6,4382.0,125700.0,11800.0,324800.0,17.0,,Kitsch,卷发器,,,-5.64,products_sales_us.csv
70,"Vibrant Beach Shawl, Loose Fit, Sun Protection, Casual Style, Perfect for Vacation & Daily Wear, Embrace Summer Comfort, Beach Coverups",9.87,4371.0,49900.0,4601.0,52600.0,8.0,,IROJEFF Shop,围巾&围脖,,,5728.0,products_sales_us.csv
71,"[KooKaStyle] Clip-In Synthetic Hair Extensions Long Wavy 4PCS Thick Hairpieces, 220g Double Weft Extensions for Women, 24 Inch Black Natural Blend",,4319.0,99100.0,111800.0,2351500.0,5.0,,kookastyle hair extensions,化纤接发&发片,,,6.69,products_sales_us.csv
72,"ShineThru Unisex Retro Square Frame Sunglasses - 1 Pair PC Plastic Semi-Rimless Double Beam, UV-Protection Lens, Stylish Fashion Accessory, Women's Gift, Party Use",10.9,4283.0,50600.0,14500.0,161800.0,13.0,,ShineThru,太阳镜,,,169.2,products_sales_us.csv
73,"Women's Colorblock Print Long Scarf & Poncho Set, Casual Soft Comfortable Shawl for Beach Vacation, Beach Cover Up, Beachwear Cover Up, Swimwear Coverups, Swimsuit Coverups, Fashion Accessories for Women & Girls",6.98,4279.0,31900.0,57900.0,726700.0,8.0,,IROJEFF,围巾&围脖,,,598.04,products_sales_us.csv
74,"Genuine Cowhide Men's Accessories, Classic Adjustable Strap for Jeans with Durable Design - Excellent for Father's Day Gifts & Gifts for Boyfriend, Durable Belts, Classic Belt, Guys Gifts",,4261.0,78200.0,13100.0,240300.0,10.0,,VATAN SHOP,皮带,,,543.66,products_sales_us.csv
75,[Can be trimmed] Mens Belt Leather Ratchet Easy Release Belt For Men Designer Belt Dress and Casual with Adjustable Buckle for Men's Wear Gift/ fathersdaygift/ accessories men/business belt no hole Durable Belts Western Belts,,4227.0,54200.0,37600.0,713100.0,10.0,,FortuneAdorn,皮带,,,-31.82,products_sales_us.csv
76,Lush Haute Wear and Go Body Wave Headband Wig Synthetic Wavy Wig for Women Glueless Wig with Headband Attached Heat Friendly 22 inch,,4193.0,113200.0,24500.0,698800.0,10.0,,Lush Haute,化纤全机制头套,,,33.79,products_sales_us.csv
77,"Bling Hair Gifts 2 Pcs Wig Cap For Lace Front Wig, Invisible Stocking Caps Sheer Wig Cap, Transparent Wig Cap For Women",29.9,4164.0,136500.0,7975.0,262400.0,5.0,,Bling Hair Wigs Shop,发带发箍,,,30.94,products_sales_us.csv
78,"【2026】 Rechargeable Mini Keychain Flashlight ,Super Bright,1200 Lumens EDC Mini Flashlights, COB Keychain Work Light Flashlights 6 Light Modes, Bright Mini Keychain Light for Walking, Searching ,camping and Hiking boyfriend、family best gift",,4101.0,50100.0,26400.0,297300.0,12.0,,Beauty with Life,钥匙扣,,,406.92,products_sales_us.csv
79,Men’s Fashion & Business Watches,1.0,4063.0,4063.0,6061.0,6061.0,,,XanaduGems,中性表,,,,products_sales_us.csv
80,"2pcs Set Heart Shaped Cuban Chain Necklace Set for &,Hip Hop Style Choker Set,Luxurious Jewelry Set for Valentine's Day Gifts, Birthday,Everyday & Party Wear, for Teenager",11.8,4059.0,53300.0,13300.0,163000.0,5.0,,Vogue-Jewelry,首饰套装,,,-23.85,products_sales_us.csv
81,"100pcs Ultimate Hair Tie Set, Super Elastic Ponytail Holders, Soft Rubber Hair Bands, Fun Fashion Accessories for Women, Perfect Gift, Fashionable Hair Accessories, Elastic Hair Ties",1.83,4050.0,7832.8,8852.0,17600.0,8.0,,NanliAccessory,头绳,,,-0.32,products_sales_us.csv
82,Frodio Veralux™ Blend Human Hair Shaggy Waves 3-in-1 Half Wig#SohoChic,53.1,4027.0,217400.0,50300.0,2910800.0,5.0,,FRODIO,真人发前蕾丝头套,,,-18.78,products_sales_us.csv
83,"Hair Turban, 3-Piece Plain Microfiber Super Absorbent Towel for Women, Extra Soft Fast Dry Cap for Shiny Hair, Absorbent Quick Dry, Female, Three Pieces",,4025.0,59100.0,26900.0,483200.0,14.0,,JJBD Shop,帽子,,,113.75,products_sales_us.csv
84,"Kimorn Polarized Square Fit-Over Sunglasses for Men and Women, Lightweight Trendy Casual Frame with UV400 Protection for Driving & Outdoors, High Quality Sunglasses, Trendy Casual Sunglasses",18.99,4010.0,66700.0,18900.0,320300.0,15.0,,AE Glasses,太阳镜,,,-48.51,products_sales_us.csv
85,"YLNWH 18G Titanium Steel Nose Rings Set – Internally Threaded Horseshoe Hoop with Gems, Surgical Grade, Includes Insertion Tool",10.66,4006.0,48400.0,11100.0,135500.0,15.0,,Nuvilite,身体饰品,,,-23.71,products_sales_us.csv
86,2026 US SummerVibes | Tactical Metal Hook Elastic Belt (Unisex) - Patented No - Buckle Invisible Design / EDC / EveryDayCarry / Soft Adjustable Side Waist Belt Pocket belts for men,8.98,4005.0,43500.0,29900.0,353800.0,12.0,,FortuneAdorn,皮带,,,29.95,products_sales_us.csv
87,"Sunber Custom Wig Bonding Adhesive Backed Double-Sided Sticky Tape, Hair Extension Accessory",9.99,3988.0,50300.0,24200.0,270500.0,3.0,,Sunber Hair,接发与假发配件,,,750.32,products_sales_us.csv
88,"Women's Luxury 4-Pack Zircon Stud Earring Set - Gold/Silver, Round/Square Styles, Hypoallergenic Fit, Everyday Wear, Matching Backs, Complimentary Box - Accessories for Women, Premium Gifts, Gemstone stud earrings, Jewelry For Women",13.57,3963.0,61500.0,32300.0,476200.0,10.0,,LUNARA,耳环,,,-10.4,products_sales_us.csv
89,"Crystal Beaded Bracelets for Women and Men - Tiger Eye, Obsidian, Black Tourmaline Jewelry for Banquet Party - Money Attraction, Good Luck, Protection Bracelet Encouragement Gift for Her couple bracelet Daily Wear backtoschool",,3935.0,29600.0,8265.0,75700.0,13.0,,Charmed Matrix,手环与手链,,,757.3,products_sales_us.csv
90,2Pieces/Set 10mm Love Heart Shape Chain Necklace and Bracelet Men or Women Hip Hop Iced Out Bling Bling Chain Necklace and Bracelet Fashion Set Jewelry Valentines Gift,4.39,3932.0,24700.0,18500.0,128800.0,8.0,,ZIDOM Hiphop Store,首饰套装,,,-7.18,products_sales_us.csv
91,"Minimalist Mini Pouch Keychain Accessory - Cool Key Organizer for Storing Earbuds & Small Gadgets, Ideal Back to School Haul Gifts for Graduation, Party Favors & School Rewards, Cool Keychains, Unisex",1.0,3916.0,15300.0,4356.0,16400.0,12.0,,Gubercen,钥匙扣,,,790.0,products_sales_us.csv
92,Retro Y2K Oval Cat Eye Sunglasses for Women Fashion Vintage Trend Sun Shades,,3892.0,58700.0,5761.0,86000.0,15.0,,WM-XLX,太阳镜,,,130.3,products_sales_us.csv
93,"Women's Non-Slip small banana hair clip Set of 4,minibanana clip， stylish hair clip，secure hold，Vintage Oval Leopard Print, Amber and, Secure Ponytail Holders, Boho Style, All Seasons",2.11,3887.0,11400.0,9719.0,31400.0,8.0,,A3 hair tie,发夹发簪,,,0.08,products_sales_us.csv
94,"New Trendy Men's High-End Quartz Analog Watch, Arabic Numerals Wristwatch, Fashion Simple Couple Watch, Stylish and Elegant Timepiece, Casual Analog Watch, Analog Quartz Watches",2.1,3880.0,9611.98,11800.0,37600.0,8.0,,K.S.Y.Chronomaster,情侣表,,,257.6,products_sales_us.csv
95,P4/27 Honey Blonde Highlight Hair Bundles Brazilian Body Wave Human Hair Weave 3 Bundles T1B/4/30 Body Wave Bundles,,3821.0,116100.0,61100.0,1397900.0,3.5,,Lebeaute hair,真人发接发&发片,,,75.44,products_sales_us.csv
96,"Leopard Print Square Statement Ring, Wild Pattern Design, Animal Theme, Side Embellishments, Bold Personalized Fashion Jewelry Ring",6.59,3814.0,28000.0,3941.0,29000.0,8.0,,Speroseful,戒指,,,4234.09,products_sales_us.csv
97,"4 Pairs Multicolor Fashion Trendy Casual PC Frame Sunglasses, Dual Bridge Pilot Square Eyewear, Retro Hong Kong Style, Ideal for Daily Commute, Street Photography, Vacation Photoshoots and Dates",2.6,3810.0,15000.0,7005.0,25600.0,8.0,,ClearLen,太阳镜,,,30.48,products_sales_us.csv
98,Turandoss Tiny Initial Necklaces for Women Golden Heart Letter A-Z Necklace Dainty Heart Name Necklace Personalized Initial Tag Pendant Birthday Gifts Anniversary Gifts Jewelry for Women Girls Mother's Day Gift summerwins,,3750.0,60400.0,83200.0,1313100.0,10.0,,Turandoss-Jewelry,项链,,,49.88,products_sales_us.csv
99,"Female 6-Pcs Soft Cotton Assorted Pink-Toned High-Waist Briefs, Tummy Control Comfy Casual Lingerie for Postpartum & Maternity",,3729.0,52500.0,3872.0,54500.0,12.0,,FSV221 shop,耳罩,,,41333.33,products_sales_us.csv
100,"Women's Multi-Color Sports Training Headbands, Workout Headbands, Gym Headband, Elastic Sweat-Absorbing Hair Bands, Yoga Running Exercise Fashion Accessories, Sweat-Wicking Headband for All Seasons, Elastic Sweatband Headband, Stretchy Headbands",2.0,3695.0,7569.54,43400.0,183500.0,8.0,,Shenzhen Songlin,头绳,,,555.14,products_sales_us.csv
