page,rank,product_name,price,listed_at,country,shop,shop_total_sales,category,commission,sales_period,sales_growth,gmv_period,total_sales,total_gmv
8,75,final sale- western goodies- NO RETURNS NO REFUNDS NO CANCELLATIONS,$10.00,2026-08-18,美国,Cowhide Belle Collective,2834,时尚配件,-,55,,$550,55,$550
8,76,Sunglasses/Eye Wear (FINAL SALE) -No Cancellations NEW without tags. May need adjustments. DESTINY,$160.00,2026-08-18,美国,NanoTV,1.74万,时尚配件,-,54,,$8640,54,$8640
8,77,$1 CZ Gem auction 260817【Aurora】,$3.00,2026-08-18,美国,Luvia Jewelry,1.02万,时尚配件,-,53,,$159,53,$159
8,78,Natural Pearl Jewelry Evan 0818,$3.00,2026-08-18,美国,店铺销量：-,,时尚配件,-,52,,$156,102,$306
8,79,JOYAS ORO 10K/14K/18K NO RETURN 8/17,$399.00,2026-08-18,美国,Lovi Creation,496,时尚配件,-,52,,$2.07万,52,$2.07万
8,80,"Full Rhinestone Star Keychain, Cute 3D Star Car Key Ring, Trendy Bag Charm Pendant, Lovely Small Gift, Present for Women & Girls",$1.00,2026-08-18,美国,KECNBAG,6.58万,时尚配件,12%,51,,$51,51,$51
9,81,"Shark Keychains, Magnetic Heart Design, Metal Key Ring with Chain Design, Couples Accessory, Unique Fashion Pendant",$2.61,2026-08-18,美国,Anime yina jewelry,792,时尚配件,-,50,,$130.5,535,$1585.5
9,82,SIMULATED DIAMOND RING,$46.00,2026-08-18,美国,The Carat Lab,2866,时尚配件,-,49,,$2254,49,$2254
9,84,"#348 Sunglasses/Scarfs for $9 Show Inspired by, No Cancels",$5.00,2026-08-18,美国,Value Outlets,7.26万,时尚配件,-,46,,$230,46,$230
9,85,SINGLE STRAND,$5.00,2026-08-18,美国,blovedwaistbeads,176,时尚配件,-,46,,$230,46,$230
9,86,"Unisex Classic Retro Oval Metal-Frame Sunglasses for Adults, UV Protection Eyewear, Sunglasses for Women, Travel Accessory for Street Shooting & Sunny Daily Use",$10.99,2026-08-18,美国,Mr. Surprise,6945,时尚配件,14%,46,,$505.54,46,$505.54
9,87,Tuesday Item Shown on Screen (Final Sale)- 1-1,$15.00,2026-08-18,美国,Truey Hats,1.01万,时尚配件,-,45,,$675,45,$675
9,88,Sunglasses/Eye Wear (FINAL SALE) -No Cancellations NEW without tags. May need adjustments. BRILYN,$1.00,2026-08-18,美国,NanoTV,1.74万,时尚配件,-,44,,$44,44,$44
9,89,"Trevoles Hat, Fashion Accessory for Daily Wear Casual Hat Stylish Hat",$12.00,2026-08-18,美国,MHAZE,994,时尚配件,-,44,,$528,181,$2172
9,90,14K Gold Plated Initial Heart Pendant Necklace Dainty Layered Y Chain Personalized Hollow Heart Letter A-Z Long Necklace Sunshine Beach Jewelry Holiday Gift Couple Necklace,$6.72,2026-08-18,美国,Seasons Jewel,4363,时尚配件,5%,43,,$288.96,43,$288.96
10,91,8/17 Rings/ Necklaces / Bracelets,$33.00,2026-08-18,美国,Luxemodeboutique1,1296,时尚配件,-,43,,$1419,43,$1419
10,92,0RANGE-08/17-LESLIEEE,$15.00,2026-08-18,美国,Angelinacjewelry,6.98万,时尚配件,-,42,,$630,42,$630
10,93,Item Shown on Screen (FINAL SALE) -6,$15.00,2026-08-18,美国,Truey Hats,1.01万,时尚配件,-,42,,$630,42,$630
10,94,Buyer Choices Jewelry,$1.00,2026-08-18,美国,Tewiky,75.46万,时尚配件,-,40,,$40,40,$40
10,95,8/17 - Fashion Accessories - Inspired by Fashion Accessories - No Cancellations - Bid Responsibly,$1.00,2026-08-18,美国,Value Outlets,7.26万,时尚配件,-,40,,$40,40,$40
10,97,CZ Gem auction 260818【Scarlett】,$12.00,2026-08-18,美国,Luvia Jewelry,1.02万,时尚配件,-,39,,$468,39,$468
10,99,"3Pcs/2Pcs/1Pcs Women’s Y2K Leopard Plush Waist Belt, Soft Furry Animal Print Decorative Accessory, Trendy Streetwear Waistband, Stylish Belt for Festival Outfits, Parties & Alternative Alt Fashion Looks",$10.99 - 15.99,2026-08-18,美国,Easy Choice,1.25万,时尚配件,15%,39,,$428.61,39,$428.61
10,100,CZ Gem auction 260817【Aurora】,$13.00,2026-08-18,美国,Luvia Jewelry,1.02万,时尚配件,-,37,,$481,37,$481
11,101,Tewiky (K) 14K Gold Plated Jewelry Exclusive K,$1.00,2026-08-18,美国,Tewiky,75.46万,时尚配件,-,36,,$77,36,$36
11,102,jewelry,$6.00,2026-08-18,美国,Bcdiamonds,108,时尚配件,-,36,,$260,36,$260
11,103,ONE DOLLAR BIDDING 3-1,$1.00,2026-08-18,美国,CASSIECA,9.92万,时尚配件,-,35,,$35,35,$35
11,104,"Teardrop Pendant Navel Ring, No Piercing Required, Non Piercing Jewelry, Fake Belly Button Ring, Unisex Body Jewelry, Body Jewellery, Belly Jewelry, Geometric Style, Copper Chain Material",$3.29,2026-08-18,美国,BodyPix,343,时尚配件,-,35,,$115.15,35,$115.15
11,105,"12 Inch Short Wavy Hair Topper for Thinning Hair Women, 6.5x6.5 Breathable Base, Curly Wave Synthetic Hairpiece, Instant Volume & Coverage",$17.47,2026-08-18,美国,LORITA FEKIX,5749,时尚配件,8%,35,,$611.45,35,$611.45
11,106,"5 Pairs Women's Large Frame Fashion Glasses, Summer Sun Protection, Beach Accessories, Casual Style Oversized Pilot Frames, Perfect for, Back-To-School Season, Fashion Eyewear",$14.50,2026-08-18,美国,Active Eyes,813,时尚配件,8%,34,,$366.18,34,$366.18
11,108,Mad Hatter CUSTOM Hat,$1.00,2026-08-18,美国,The Mad Hatter Company,42.23万,时尚配件,-,34,,$34,34,$34
11,109,ONE DOLLAR BIDDING1-1,$7.00,2026-08-18,美国,CASSIECA,9.92万,时尚配件,-,34,,$238,34,$238
11,110,FREE SHIP Gemstone Jewelry | Live Picks-N011,$1.00,2026-08-18,美国,AuraGem Jewelry,8584,时尚配件,-,34,,$34,34,$34
12,111,jm8.18-3,$5.00,2026-08-18,美国,Soocosisx,3.32万,时尚配件,-,33,,$165,33,$165
12,112,"HOT Sticker Sprouts - Pack of 3 - Collectibles for EDM Raves, Festival Hat Accessories, 3D Printed",$11.00,2026-08-18,美国,Lil Headbangers,330,时尚配件,14.5%,33,,$364.98,33,$364.98
12,113,"PU Jewelry Storage Bag - Accessory Organizer Pouch for Necklaces, Rings, Earrings, Free Bonus Gift for Order Placement, Random Gift Only, No Independent Shipment, Do Not Purchase Separately",$95.00,2026-08-18,美国,Glam Sparkle Luxe,1.38万,时尚配件,16.5%,33,,$3219,159,$1.68万
12,114,"Fashion Costume Jewelry Earrings - 14-Day No-Reason Warranty, Exclusive Customer Service for Product Issue Resolution",$95.00,2026-08-18,美国,Glam Sparkle Luxe,1.38万,时尚配件,16.5%,33,,$3219,159,$1.68万
12,115,jm kimi 8.18-1,$4.00,2026-08-18,美国,Soocosisx,3.32万,时尚配件,-,32,,$128,32,$128
12,116,Fashion jewelry--#Summervibes Ikty/08/17B,$4.00,2026-08-18,美国,Auralis Jewelry,1495,时尚配件,-,32,,$128,32,$128
12,117,HARD JEWELRY STAINLESS STEEL PIECE - LISTEN FOR DETAILS!,$1.00,2026-08-18,美国,Hard Jewelry Official,1.11万,时尚配件,-,30,,$30,30,$30
12,118,Fashion jewelry--#Summervibes Ikty/08/17C,$8.00,2026-08-18,美国,Auralis Jewelry,1495,时尚配件,-,30,,$240,30,$240
12,119,HARD JEWELRY ITEM - LISTEN FOR DETAILS,$1.00,2026-08-18,美国,Hard Jewelry Official,1.11万,时尚配件,-,30,,$30,30,$30
12,120,"Matte Banana Hair Claw Clips Set of 4, TikTok aesthetic hair clips, Non-slip strong hold banana clips for thick hair, Secure high ponytail & updos, Durable lightweight matte neutral tones for daily wear, office & travel",$8.99,2026-08-18,美国,QYZPB shop,8044,时尚配件,13%,29,,$260.71,29,$260.71
13,121,3pcs-Black-White-Polka-Dot-Striped-Elastic-Sweatband-Stretchy Headbands Workout Headband Gym Headband-Suitable-For-Daily-Life-Yoga-Fitness-Travel-Women-Hair-Accessories,$3.48,2026-08-18,美国,ISBeyllaZ,1485,时尚配件,-,29,,$100.92,29,$100.92
13,122,ONE DOLLAR BIDDING 3-2,$1.00,2026-08-18,美国,CASSIECA,9.92万,时尚配件,-,28,,$28,28,$28
13,123,"Flower C-Type Angel Wings Nose Ring, Dangly Nose Ring, Sexy Piercing Jewelry, Body Jewelry, Body Jewellery, Unisex, All Seasons, Copper Chain Material",$3.64,2026-08-18,美国,BodyPix,343,时尚配件,-,28,,$111.1,28,$111.1
13,124,"Alphabet Letter Necklace - Double Layer Custom Initial Pendant with Stainless Steel Cuban Link Chain, Fashion Pendant Necklace for Party Wear, Stainless Steel Jewelry",$11.98,2026-08-18,美国,GJK2 shop,2277,时尚配件,16.5%,28,,$335.44,28,$335.44
13,125,14K-Plated Fashion Accessories,$6.00,2026-08-18,美国,GLIMELLE,870,时尚配件,-,28,,$168,28,$168
13,126,2pcs Crystal Ball Twisted Barbell Earring for Women - Elegant Disco Ball Lobe Jewelry with Double Screw Back Design,$7.99,2026-08-18,美国,Xara Studio,1.55万,时尚配件,15%,27,,$215.73,27,$215.73
13,127,Kate Spade Sunglasses - Full Inclusion 100% Authentic Brand New! FINAL SALE (BB8.17),$64.00,2026-08-18,美国,The Shoe Game Co.,11.62万,时尚配件,-,27,,$1906,27,$1728
13,128,"Women's Trendy Checkered Vegan Leather Belt Bag with Adjustable Strap, Aesthetic Crossbody Sling Chest Purse, Casual Waist Handbag for Holiday Travel Festival Essentials,clothes for back to school,first day of school outfits",$13.99,2026-08-18,美国,TRUE78 shop,1613,时尚配件,16.5%,26,,$363.74,26,$363.74
13,129,"Maneja Con Cuidado Te Necesito Aquí Conmigo Authentic Keychain with Cross & ""I Love You"" Charm, Spanish Drive Safe Stainless Steel Keyring, Romantic Religious Gift for Him/Her Heart Keychains Adjustable Heart Rate Couples Bracelet Set",$3.24,2026-08-18,美国,Sleek Yoga Style,317,时尚配件,-,26,,$84.24,306,$991.44
13,130,cuban link chain,$15.00,2026-08-18,美国,KINGLIFE PRO,2690,时尚配件,-,26,,$390,26,$390
14,133,Brown Layered Wigs with Curtain Bangs 20 Inch Long Wavy Natural Looking Middle Part Synthetic Hair Wig for Women Brown with Highlights,$19.60,2026-08-18,美国,Wig Tools,1981,时尚配件,8%,26,,$509.6,26,$511.68
14,134,14K Gold Plated Two-piece Jewelry Set,$2.00,2026-08-18,美国,Tewiky,75.46万,时尚配件,-,26,,$52,26,$52
14,135,"Retro Y2K Red Heart Gold Bead Necklace, Oversized Stainless Steel Chain Necklace, Eye-Catching Pendant Accessory for Fashion-Forward Trendsetters-Perfect for Date Nights, Birthday Parties, and Concerts",$10.99,2026-08-18,美国,Mobox,47,时尚配件,14.5%,25,,$274.75,25,$274.75
14,137,"Women's Vintage Minimalist Multi-Function Wristlet Bag - Compact Snap Closure Mini Pouch, Casual Purse with Wrist Strap, Credit Card Slots, ID Window, Coin Pocket, Zipper for Cash/ID - Daily Use for Sports, Outdoor Camping",$12.99,2026-08-18,美国,Xara Studio,1.55万,时尚配件,15%,25,,$324.75,25,$324.75
14,138,"1 Piece Super Shiny Small Flower C-Type Nose Ring, Nose Studs, Nose Rings Studs, Vintage Body Jewelry, Body Jewellery, Body Piercing Jewelry, Unisex, Simple Design, Casual Style, Copper Chain Material, All Seasons",$3.35,2026-08-18,美国,BodyPix,343,时尚配件,-,25,,$83.75,25,$83.75
14,139,Gold tone flower necklace 18 inch,$18.00,2026-08-18,美国,Letis Love,5.62万,时尚配件,-,25,,$450,25,$450
14,140,"TAO-Creative Cross Fashion Exquisite Trendy Bracelet with Luxurious Zircon, Hip Hop Style, Unisex, Perfect Gift for Birthday and Anniversary, All Seasons Wear",$22.45 - 27.00,2026-08-18,美国,TAO-Fashion Hip Hop,215,时尚配件,-,24,,$538.8,24,$538.8
15,141,"Vintage Patchwork Embroidered Baseball Hat, Truck Driver's Hat With Colorblock, Embroidery, Vintage Number, Lightweight & Adjustable Size' MusicFest Y2KFest Back To School Autumn Halloween Halloween Winter Adjustable Cap Adjustable Casual Hats",$10.82,2026-08-18,美国,Chic Slim Gems,63,时尚配件,-,24,,$259.68,24,$259.68
15,142,Versace Sunglasses - Full Inclusion 100% Authentic Brand New! FINAL SALE (BB8.17),$1.00,2026-08-18,美国,The Shoe Game Co.,11.62万,时尚配件,-,24,,$861,24,$24
15,143,Women's Flower Pearl Earrings - Lightweight Costume Statement Jewelry for Daily Wear,$10.77,2026-08-18,美国,SweetheartShop,284,时尚配件,15%,23,,$247.71,23,$332.35
15,146,"Men's Minimalist Bifold Card Wallet, Large‑Capacity Credit Card Holder with Magnetic Money Clip, Portable Cash Storage Accessory for Daily Work Travel and Gift Selection",$13.99,2026-08-18,美国,Mr. Surprise,6945,时尚配件,14%,22,,$307.78,22,$354.9
15,147,"Women’s 5PCS Stackable Charm Bracelets - Gold Tone Stretch Set with Faux Pearl, Beaded Charm, Cross Motif for Casual Wear, Elastic Bracelets, Fashion Bracelet",$8.99,2026-08-18,美国,WarmHue,169,时尚配件,10%,22,,$219.58,22,$220.67
15,148,"14mm 14K White Gold Colour Plated Double Row Full Iced Out Cubic Zirconia Cuban Link Bracelet, Anti-Tarnish Secure Box Clasp Hip Hop Miami Wrist Jewelry",$44.99 - 50.99,2026-08-18,美国,jewelry678,78,时尚配件,10%,22,,$989.78,22,$989.78
15,149,"14K Gold-Plated Let's Go,Bro！",$6.00,2026-08-18,美国,Glam Sparkle Luxe,1.38万,时尚配件,-,21,,$126,21,$126
15,150,"(MTO) Handmade Cherry Red French Tip 3D Flower Long Stiletto Press-On Nails, Rhinestone Decor, Reusable Wearable Art, Novelty Fashion Hand Accessories with Creativity, Like the Picture, Check Size Guide",$20.69,2026-08-18,美国,Bubble NailArt,1070,时尚配件,15%,21,,$434.49,21,$434.49
16,151,"TAO-Creative Cross Bracelet with Luxurious Zircon, Hip Hop Style, Unisex, Perfect Gift for Birthday and Anniversary, Copper Exquisite Bracelet",$17.51 - 17.78,2026-08-18,美国,TAO-Fashion Hip Hop,215,时尚配件,-,21,,$367.71,21,$367.71
16,152,"Women's Classic 3-Piece Dainty Costume Jewelry Set - Creamy White Imitation Pearl Necklace, Rhinestone Center Stud Earrings, Elastic Bead Bracelet with Bling Effect for Office, Wedding",$5.00,2026-08-18,美国,LunaraJewelry,1898,时尚配件,-,21,,$105,21,$105
16,155,Freshies (FINAL SALE),$12.00,2026-08-18,美国,Hey.Yall,1.05万,时尚配件,-,20,,$240,20,$240
16,156,"Protection Brooch for Pregnancy & Baby Religious Charm Maternity Safety Pin Brooch – Virgin Mary, Cross & Evil Eye Belly Jewelry Pin",$10.98 - 11.98,2026-08-18,美国,ARKENIA,3424,时尚配件,16.5%,19,,$219.62,19,$219.62
16,157,Aviation Style Mens Chronograph Wrist Watch Moon‑Phase Function Tachymeter Scale Bezel Multi‑Dial Calendar Stainless Steel Sports Watch,$9.00,2026-08-18,美国,FeiceOfficial,2.04万,时尚配件,-,19,,$171,19,$171
16,158,"2 Pcs Women's Sweet Cute Mesh Bow Hair Clips, Fashion Elegant Design with Pearl Chain and Net Pompon, Girl Style Side Clip",$3.79,2026-08-18,美国,Dare to for,338,时尚配件,-,18,,$71.58,18,$71.79
16,159,"TAO-Creative Zircon Heart Pendant Necklace, 24-Inch Braided Chain, Hip Hop Style, Luxurious and Versatile, Stainless Steel, All Seasons, Heart Shaped Necklace",$27.50,2026-08-18,美国,TAO-Fashion Hip Hop,215,时尚配件,-,18,,$495,18,$495
16,160,"2026 new model men's watch, high aesthetic appeal, popular cross-border quartz watch, student unisex model, candy-colored two-in-one set",$19.90,2026-08-18,美国,BEETCAECC SHOP 2,26,时尚配件,14.5%,18,,$358.2,18,$358.2
